CHFJPY,GBPJPY
148.292,167.786
148.028,168.17
146.706,167.83
146.987,168.095
146.977,167.954
146.309,166.079
145.302,165.698
145.991,166.516
144.341,165.839
143.31,165.037
143.226,164.837
145.015,166.698
145.273,166.117
145.016,166.525
145.87,167.106
146.106,167.347
146.116,167.37
146.78,168.63
145.789,167.464
146.459,168.243
148.354,167.794
146.271,165.637
145.787,165.549
147.272,166.218
142.168,160.494
142.711,159.839
142.11,159.269
142.07,159.851
142.471,160.284
143.588,160.5
144.589,161.341
144.008,160.287
141.665,158.446
141.313,157.423
139.847,156.714
142.323,159.605
142.436,158.869
142.31,159.702
142.238,159.672
143.12,160.624
143.142,160.512
142.109,160.744
139.29,157.819
137.881,156.275
137.693,156.181
138.602,156.649
138.988,157.486
140.428,158.966
140.128,159.045
140.713,160.477
140.838,160.717
141.576,161.599
140.966,160.459
140.985,160.559
141.297,161.445
140.856,160.875
140.872,160.817
140.877,161.016
141.902,160.182
141.695,159.522
140.757,157.254
141.613,158.079
142.206,158.74
142.875,159.367
142.111,157.892
142.509,158.472
142.468,159.267
142.16,158.265
142.154,158.383
143.893,160.618
144.376,161.967
145.017,161.197
144.595,160.531
145.065,161.493
145.092,161.517
145.312,161.625
145.463,163.365
144.777,162.428
144.181,161.843
144.987,162.96
144.899,162.865
145.491,164.175
144.587,163.899
144.833,163.646
145.037,163.347
145.016,163.553
144.996,163.47
145.948,163.446
145.541,162.193
145.714,162.52
145.866,162.328
146.378,162.344
146.525,162.415
146.026,162.221
146.857,163.161
143.027,160.743
143.594,161.588
142.193,160.397
142.538,161.009
141.449,161.328
143.504,161.76
143.258,161.24
142.703,160.661
142.052,159.8
141.966,159.709
143.556,161.566
142.174,161.411
144.403,163.459
145.169,164.31
144.941,163.606
145.576,164.277
144.971,164.395
145.3,164.564
144.732,163.483
145.486,163.786
145.87,163.992
145.985,164.078
146.767,165.383
147.912,166.067
148.487,166.183
148.97,166.033
149.624,166.038
149.484,166.122
149.519,166.394
149.518,166.582
149.937,167.4
150.342,166.946
150.28,166.852
150.097,166.696
151.127,167.508
149.883,165.926
149.853,166.554
149.602,167.085
152.282,171.11
152.378,171.109
153.53,171.751
152.919,170.255
152.229,169.122
151.531,168.726
151.272,170.272
151.332,170.314
151.741,170.398
151.77,170.601
150.846,169.507
150.333,168.252
151.01,168.868
151.024,168.955
151.895,170.456
151.988,170.206
153.036,171.781
153.162,172.0
153.14,171.469
153.466,171.734
154.303,172.277
153.652,171.977
153.944,172.3
154.554,172.533
155.221,173.502
155.273,173.64
155.108,173.43
154.219,173.491
152.972,173.271
153.161,173.846
153.971,174.174
154.011,174.175
153.949,173.46
153.781,173.396
153.94,174.275
154.477,174.409
154.257,175.256
154.328,175.354
153.505,174.654
154.806,176.798
155.443,177.304
157.214,179.279
158.59,181.762
158.465,181.828
158.301,181.571
157.395,180.441
158.797,181.084
159.812,182.293
160.085,182.727
160.097,182.571
160.055,182.338
161.184,183.587
160.95,182.441
160.854,182.5
161.044,183.107
161.2,183.161
161.266,183.556
160.93,183.612
160.794,183.611
160.864,183.643
